task,model_id,kind,deployment_role,repeat,seed,fold,threshold,n,positive_n,accuracy,balanced_accuracy,f1,precision,sensitivity,specificity,log_loss,ece_10,auroc,average_precision,tp,fp,tn,fn
any_brar_level_2_3_vs_1,downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,1,20260606,1,0.51957443,198,164,0.8535353535353535,0.8299856527977044,0.9073482428115016,0.9530201342281879,0.8658536585365854,0.7941176470588235,0.34052759234771357,0.06054680115619654,0.9001972740315639,0.977450723951491,142,7,27,22
severe_level_3_vs_1_2,downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,1,20260606,2,0.46538276465382766,198,52,0.7373737373737373,0.5866701791359326,0.35,0.5,0.2692307692307692,0.9041095890410958,0.5708859250485092,0.05272400083664588,0.6438356164383562,0.39119507015169414,14,14,132,38
any_brar_level_2_3_vs_1,downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,1,20260606,2,0.6920408869204089,198,164,0.6464646464646465,0.728299856527977,0.7388059701492538,0.9519230769230769,0.6036585365853658,0.8529411764705882,0.48149751126061474,0.10864858204390847,0.8205703012912482,0.9275098630624224,99,5,29,65
severe_level_3_vs_1_2,downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,1,20260606,3,0.350955,197,51,0.5989847715736041,0.5316948697287134,0.33613445378151263,0.29411764705882354,0.39215686274509803,0.6712328767123288,0.6181821298183325,0.07995352861151163,0.5519742143432715,0.3243542300631624,20,48,98,31
any_brar_level_2_3_vs_1,downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,1,20260606,3,0.6350789736492103,197,163,0.7461928934010152,0.7418801876578853,0.8299319727891157,0.9312977099236641,0.7484662576687117,0.7352941176470589,0.413399307059428,0.09695830313642395,0.8215445687477445,0.9487950708224955,122,9,25,41
severe_level_3_vs_1_2,downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,1,20260606,4,0.35189055,197,51,0.6649746192893401,0.6081117378458233,0.43103448275862066,0.38461538461538464,0.49019607843137253,0.726027397260274,0.5575318924692109,0.06606353959384093,0.6495433789954339,0.4009712707673939,25,40,106,26
any_brar_level_2_3_vs_1,downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,1,20260606,4,0.66246823,197,163,0.7208121827411168,0.7614579574160952,0.8056537102473498,0.95,0.6993865030674846,0.8235294117647058,0.4083394675968475,0.10164232241071354,0.8342656080837243,0.9568918928914509,114,6,28,49
severe_level_3_vs_1_2,downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,2,20260607,0,0.37591206,198,52,0.6515151515151515,0.5284510010537408,0.28865979381443296,0.3111111111111111,0.2692307692307692,0.7876712328767124,0.5882757019341339,0.11821307130888348,0.5414251844046364,0.3400251438248384,14,31,115,38
any_brar_level_2_3_vs_1,downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,2,20260607,0,0.5751236742487633,198,164,0.7777777777777778,0.7143113342898135,0.8580645161290322,0.910958904109589,0.8109756097560976,0.6176470588235294,0.4250304907268254,0.10005540019018472,0.8131276901004303,0.9466371975033869,133,13,21,31
severe_level_3_vs_1_2,downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,2,20260607,1,0.2884587871154122,198,52,0.45454545454545453,0.5929926238145415,0.46,0.3108108108108108,0.8846153846153846,0.3013698630136986,0.5554813007178194,0.12517474098485792,0.6896074815595363,0.46956406264265976,46,102,44,6
any_brar_level_2_3_vs_1,downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,2,20260607,1,0.5701354342986458,198,164,0.8333333333333334,0.8177905308464849,0.8932038834951457,0.9517241379310345,0.8414634146341463,0.7941176470588235,0.36127881482985275,0.11561155222534374,0.8951757532281206,0.9725779461769264,138,7,27,26
severe_level_3_vs_1_2,downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,2,20260607,2,0.35135291,198,52,0.6212121212121212,0.613145416227608,0.45255474452554745,0.36470588235294116,0.5961538461538461,0.6301369863013698,0.5330159467162184,0.09175424976714527,0.6865779768177028,0.5035824835609688,31,54,92,21
