repeat,seed,fold,eval_split,model,encoder,probability_mode,true_label,pred_label,count
1,20260606,3,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,2,2,69
1,20260606,3,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,2,3,24
1,20260606,3,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,3,1,7
1,20260606,3,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,3,2,21
1,20260606,3,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,3,3,23
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,raw,1,1,15
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,raw,1,2,15
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,raw,1,3,4
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,raw,2,1,28
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,raw,2,2,63
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,raw,2,3,21
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,raw,3,1,5
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,raw,3,2,26
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,raw,3,3,20
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,1,1,15
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,1,2,15
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,1,3,4
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,2,1,28
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,2,2,63
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,2,3,21
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,3,1,5
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,3,2,26
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,3,3,20
1,20260606,4,val,frozen_encoder_logistic,efficientnet_b0,raw,1,1,13
1,20260606,4,val,frozen_encoder_logistic,efficientnet_b0,raw,1,2,15
