eval_split,model,encoder,probability_mode,folds,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd,brier_score_mean,brier_score_sd,log_loss_mean,log_loss_sd,ece_10_mean,ece_10_sd,ovr_auroc_mean,ovr_auroc_sd
test,frozen_encoder_logistic,resnet50,raw,15,0.54354202,0.02883606,0.47979602,0.03262957,0.48130757,0.03352505,0.65215840,0.07254408,1.33751258,0.50415862,0.20366880,0.08196473,0.66831776,0.02444171
test,frozen_encoder_logistic,resnet50,temperature_scaled,15,0.54354202,0.02883606,0.47979602,0.03262957,0.48130757,0.03352505,0.57625049,0.01941434,0.95733879,0.03126961,0.07655322,0.01829852,0.67071881,0.02356033
val,frozen_encoder_logistic,resnet50,raw,15,0.54587499,0.03234884,0.48402523,0.03338648,0.48535794,0.03531608,0.65534063,0.08815909,1.36772145,0.63686374,0.20117800,0.08692651,0.66292728,0.02957513
val,frozen_encoder_logistic,resnet50,temperature_scaled,15,0.54587499,0.03234884,0.48402523,0.03338648,0.48535794,0.03531608,0.57933265,0.02598439,0.96076267,0.05064470,0.06797783,0.02153838,0.66533498,0.02845812
