eval_split,model,encoder,probability_mode,folds,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd,brier_score_mean,brier_score_sd,log_loss_mean,log_loss_sd,ece_10_mean,ece_10_sd,ovr_auroc_mean,ovr_auroc_sd
test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,15,0.57153771,0.02695390,0.53991806,0.03395326,0.53285171,0.03130847,0.60934570,0.05524240,1.17497007,0.33844493,0.19859170,0.05911439,0.70936144,0.02659625
test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,15,0.57153771,0.02695390,0.53991806,0.03395326,0.53285171,0.03130847,0.54912963,0.01808900,0.90379320,0.02895998,0.07360238,0.02338228,0.71186485,0.02419029
val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,15,0.56576937,0.03352736,0.53464052,0.03391815,0.52818188,0.03384263,0.61817881,0.06524569,1.18719979,0.35346801,0.20304940,0.06437355,0.71053171,0.02830332
val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,15,0.56576937,0.03352736,0.53464052,0.03391815,0.52818188,0.03384263,0.54699596,0.02292846,0.89833858,0.03667574,0.07009068,0.01897834,0.71346432,0.02654956
