repeat,seed,fold,feature_set,selected_l2,validation_macro_f1,validation_balanced_accuracy,validation_log_loss
3,20260608,3,image_geometry_file,1.00000000,0.34142015,0.44426937,1.08984926
3,20260608,3,admin_index,1.00000000,0.14172149,0.22549020,1.09888745
3,20260608,3,age_sex_geometry,1.00000000,0.43900613,0.51873249,1.04724308
3,20260608,3,downstream_status,0.10000000,0.32802227,0.47718254,1.05908044
3,20260608,3,downstream_plus_age_sex,0.10000000,0.48877666,0.56028245,0.98380490
3,20260608,4,age_sex,0.01000000,0.48785034,0.55697856,0.92335540
3,20260608,4,image_geometry_file,0.00100000,0.30978344,0.37890541,1.10732692
3,20260608,4,admin_index,0.01000000,0.17468771,0.25783775,1.10432043
3,20260608,4,age_sex_geometry,0.01000000,0.48069716,0.54419845,0.92785394
3,20260608,4,downstream_status,0.01000000,0.31629681,0.47462831,1.05402807
3,20260608,4,downstream_plus_age_sex,0.00100000,0.51922604,0.58761582,0.90039015
