model_id,repeat,seed,fold,task,threshold_source,threshold,n,positive_n,accuracy,balanced_accuracy,f1,precision,sensitivity,specificity,log_loss,ece_10,auroc,average_precision
admin_index,1,20260606,0,level_1_vs_higher,validation_youden,0.6760108332398918,198,164,0.42424242424242425,0.5941535150645624,0.49107142857142855,0.9166666666666666,0.3353658536585366,0.8529411764705882,0.5233915457379774,0.16155243644733108,0.5410688665710186,0.8806377787811575
admin_index,1,20260606,0,level_3_vs_lower,validation_youden,0.34390504656094956,198,52,0.6565656565656566,0.5690200210748156,0.37037037037037035,0.35714285714285715,0.38461538461538464,0.7534246575342466,0.5847124211495153,0.07077995154939687,0.5824552160168599,0.3843784947799733
admin_index,1,20260606,1,level_1_vs_higher,validation_youden,0.71925099,198,164,0.35353535353535354,0.586441893830703,0.37254901960784315,0.95,0.23170731707317074,0.9411764705882353,0.5315550066279835,0.16656263447843478,0.5114777618364419,0.8657015053720754
admin_index,1,20260606,1,level_3_vs_lower,validation_youden,0.40742742000000004,198,52,0.7222222222222222,0.5702054794520548,0.32098765432098764,0.4482758620689655,0.25,0.8904109589041096,0.5885204325697241,0.09764180862693277,0.5260800842992623,0.34705923052983434
admin_index,1,20260606,2,level_1_vs_higher,validation_youden,0.6915480969154809,198,164,0.42424242424242425,0.5824964131994261,0.49557522123893805,0.9032258064516129,0.34146341463414637,0.8235294117647058,0.529761600726375,0.16184954128440351,0.4592898134863702,0.8582025608959353
admin_index,1,20260606,2,level_3_vs_lower,validation_youden,0.39940571,198,52,0.7373737373737373,0.5742887249736565,0.3157894736842105,0.5,0.23076923076923078,0.9178082191780822,0.5950695076065448,0.14446148108025858,0.4777397260273972,0.32535028468717253
admin_index,1,20260606,3,level_1_vs_higher,validation_youden,0.6738742600000001,197,163,0.4619289340101523,0.6282930350054132,0.5350877192982456,0.9384615384615385,0.37423312883435583,0.8823529411764706,0.5229217205698836,0.1599538050060918,0.5763262360158787,0.8813127818906321
admin_index,1,20260606,3,level_3_vs_lower,validation_youden,0.34775069347750687,197,51,0.6142131979695431,0.5355895782970723,0.3333333333333333,0.30158730158730157,0.37254901960784315,0.6986301369863014,0.5829779598142579,0.0759839782618109,0.5482138060703733,0.3233428347704212
admin_index,1,20260606,4,level_1_vs_higher,validation_youden,0.67683157,197,163,0.4720812182741117,0.6227896066402021,0.5517241379310345,0.927536231884058,0.39263803680981596,0.8529411764705882,0.522426916411488,0.16011534396711524,0.5786719595813785,0.8772900763939901
admin_index,1,20260606,4,level_3_vs_lower,validation_youden,0.35645985,197,51,0.7411167512690355,0.5829304324469513,0.33766233766233766,0.5,0.2549019607843137,0.910958904109589,0.5819164995283251,0.07518925302220092,0.5744023636852001,0.35355719833126764
admin_index,2,20260607,0,level_1_vs_higher,validation_youden,0.6858611368586114,198,164,0.41414141414141414,0.5530846484935438,0.49122807017543857,0.875,0.34146341463414637,0.7647058823529411,0.5281500351017051,0.1645229280785962,0.5062769010043042,0.8575185584511922
admin_index,2,20260607,0,level_3_vs_lower,validation_youden,0.35503664,198,52,0.6161616161616161,0.5044783983140148,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.7397260273972602,0.5873512679051928,0.06837328101176185,0.5094836670179137,0.30342610036825435
admin_index,2,20260607,1,level_1_vs_higher,validation_youden,0.67690475,198,164,0.3484848484848485,0.5600789096126255,0.37681159420289856,0.9069767441860465,0.23780487804878048,0.8823529411764706,0.5257803457266583,0.1634263287260619,0.5082496413199427,0.8583786272492153
