repeat,seed,fold,eval_split,model,feature_set,true_label,pred_label,count
1,20260606,0,test,multinomial_logistic,age_sex_geometry,3,1,13
1,20260606,0,test,multinomial_logistic,age_sex_geometry,3,2,27
1,20260606,0,test,multinomial_logistic,age_sex_geometry,3,3,12
1,20260606,0,val,multinomial_logistic,downstream_status,1,1,31
1,20260606,0,val,multinomial_logistic,downstream_status,1,2,3
1,20260606,0,val,multinomial_logistic,downstream_status,1,3,0
1,20260606,0,val,multinomial_logistic,downstream_status,2,1,60
1,20260606,0,val,multinomial_logistic,downstream_status,2,2,25
1,20260606,0,val,multinomial_logistic,downstream_status,2,3,27
1,20260606,0,val,multinomial_logistic,downstream_status,3,1,20
1,20260606,0,val,multinomial_logistic,downstream_status,3,2,12
1,20260606,0,val,multinomial_logistic,downstream_status,3,3,20
1,20260606,0,test,multinomial_logistic,downstream_status,1,1,31
1,20260606,0,test,multinomial_logistic,downstream_status,1,2,3
1,20260606,0,test,multinomial_logistic,downstream_status,1,3,0
1,20260606,0,test,multinomial_logistic,downstream_status,2,1,65
1,20260606,0,test,multinomial_logistic,downstream_status,2,2,20
1,20260606,0,test,multinomial_logistic,downstream_status,2,3,27
1,20260606,0,test,multinomial_logistic,downstream_status,3,1,17
1,20260606,0,test,multinomial_logistic,downstream_status,3,2,12
1,20260606,0,test,multinomial_logistic,downstream_status,3,3,23
1,20260606,0,val,multinomial_logistic,downstream_plus_age_sex,1,1,31
1,20260606,0,val,multinomial_logistic,downstream_plus_age_sex,1,2,3
1,20260606,0,val,multinomial_logistic,downstream_plus_age_sex,1,3,0
1,20260606,0,val,multinomial_logistic,downstream_plus_age_sex,2,1,32
1,20260606,0,val,multinomial_logistic,downstream_plus_age_sex,2,2,63
1,20260606,0,val,multinomial_logistic,downstream_plus_age_sex,2,3,17
1,20260606,0,val,multinomial_logistic,downstream_plus_age_sex,3,1,17
1,20260606,0,val,multinomial_logistic,downstream_plus_age_sex,3,2,18
1,20260606,0,val,multinomial_logistic,downstream_plus_age_sex,3,3,17
1,20260606,0,test,multinomial_logistic,downstream_plus_age_sex,1,1,30
1,20260606,0,test,multinomial_logistic,downstream_plus_age_sex,1,2,3
1,20260606,0,test,multinomial_logistic,downstream_plus_age_sex,1,3,1
1,20260606,0,test,multinomial_logistic,downstream_plus_age_sex,2,1,38
1,20260606,0,test,multinomial_logistic,downstream_plus_age_sex,2,2,57
1,20260606,0,test,multinomial_logistic,downstream_plus_age_sex,2,3,17
1,20260606,0,test,multinomial_logistic,downstream_plus_age_sex,3,1,13
1,20260606,0,test,multinomial_logistic,downstream_plus_age_sex,3,2,22
1,20260606,0,test,multinomial_logistic,downstream_plus_age_sex,3,3,17
