model_id,folds,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd,log_loss_mean,log_loss_sd,ece_10_mean,ece_10_sd,ordinal_mae_mean,ordinal_mae_sd,quadratic_weighted_kappa_mean,quadratic_weighted_kappa_sd,ovr_auroc_mean,ovr_auroc_sd
downstream_plus_age_sex,15,0.5397682407834691,0.027918812330284686,0.5680857813210755,0.03090965071668501,0.5062762425734488,0.027690174291126277,0.9624384624277302,0.05438124946082244,0.0781048708129626,0.023465177751181326,0.5442308020988224,0.03197903943082995,0.3101391455371723,0.05133534835681234,0.7211841221510497,0.028402767965602517
image_efficientnet_b0_temperature_scaled,15,0.5273120374643216,0.038934390340240155,0.5036600110129522,0.048837714165523564,0.49281779715683527,0.04483425439764898,0.9629667536918409,0.05356386106129226,0.09304269399077018,0.039794491939603924,0.5131842964330275,0.04106884238293518,0.341895953777629,0.06068074353657103,0.6828936489682828,0.03561555537648633
age_sex,15,0.5151771522329898,0.03349716409926325,0.5445455960161844,0.0340100508295981,0.48498812913316,0.03174616825765913,0.9749809455843422,0.0425943216263053,0.07358655907439857,0.018288003522969967,0.5816284674152694,0.04655996500302458,0.26052675472807885,0.06280790208789797,0.6968374598016462,0.024848599586558273
image_geometry_file,15,0.35280555128270863,0.07257878973354517,0.34735389882448703,0.03220666997396439,0.3043788003881516,0.0347767129946876,1.0978576354218468,0.00965197206410929,0.08382907736630633,0.030320097753909734,0.80144251311764,0.10752335509685744,-0.011624712292334949,0.050302545376283904,0.5312573642385073,0.0337326294925215
majority_class,15,0.5668051069066298,0.001456041786334346,0.33333333333333326,5.745950043620392e-17,0.24117200821240908,0.00039526997193693037,0.9752502765650904,0.0009405897627105049,0.0019129398484807325,0.0006276409643443235,0.4331948930933702,0.001456041786334318,0.0,0.0,0.5,0.0
stratified_random,15,0.5668051069066298,0.001456041786334346,0.33333333333333326,5.745950043620392e-17,0.24117200821240908,0.00039526997193693037,0.9752502765650904,0.0009405897627105049,0.0019129398484807325,0.0006276409643443235,0.4331948930933702,0.001456041786334318,0.0,0.0,0.5,0.0
admin_index,15,0.21287323317780169,0.06947934343177549,0.2831014029543441,0.04272286211022266,0.19287193675936543,0.04652720071591811,1.0990914896510324,0.003913064705137777,0.16397567767669005,0.04153974461531869,1.0040592045668189,0.10248121841331062,-0.05190113918325346,0.060039736837168955,0.5293049122788717,0.02535809204816161
