eval_split,model,encoder,probability_mode,folds,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd,brier_score_mean,brier_score_sd,log_loss_mean,log_loss_sd,ece_10_mean,ece_10_sd,ovr_auroc_mean,ovr_auroc_sd
test,lightly_finetuned_cnn,efficientnet_b0,raw,15,0.49321301,0.03586603,0.53681618,0.03269039,0.48497871,0.03316887,0.59922817,0.02768532,0.97192031,0.04753318,0.07993595,0.02537665,0.70146689,0.03244969
test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,15,0.49321301,0.03586603,0.53681618,0.03269039,0.48497871,0.03316887,0.59588036,0.02574161,0.97066644,0.04195496,0.06552683,0.02571697,0.70152778,0.03175175
val,lightly_finetuned_cnn,efficientnet_b0,raw,15,0.50909091,0.02881981,0.54863685,0.03629513,0.49761095,0.02855630,0.59972268,0.02303340,0.97624490,0.03907391,0.09216197,0.03076487,0.70402631,0.02804612
val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,15,0.50909091,0.02881981,0.54863685,0.03629513,0.49761095,0.02855630,0.59200776,0.01664208,0.96366017,0.02961669,0.07954720,0.02663586,0.70299088,0.02935429
