model_id,kind,deployment_role,folds,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd,ordinal_mae_mean,ordinal_mae_sd,adjacent_accuracy_mean,adjacent_accuracy_sd,two_grade_error_rate_mean,two_grade_error_rate_sd,quadratic_weighted_kappa_mean,quadratic_weighted_kappa_sd,severe_auroc_from_prob_3_mean,severe_auroc_from_prob_3_sd
age_sex,metadata_guardrail,metadata guardrail,15,0.5151771522329898,0.03349716409926325,0.5445455960161844,0.0340100508295981,0.48498812913316,0.03174616825765913,0.5816284674152694,0.04655996500302458,0.9031943803517406,0.02018733024200242,0.09680561964825923,0.02018733024200241,0.26052675472807885,0.06280790208789797,0.5854562249908746,0.05061503584496028
downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,15,0.5397682407834691,0.027918812330284686,0.5680857813210755,0.03090965071668501,0.5062762425734488,0.027690174291126277,0.5442308020988224,0.03197903943082995,0.9160009571177085,0.01581137881029321,0.08399904288229162,0.015811378810293212,0.3101391455371723,0.05133534835681234,0.6367142571816223,0.048126862843394604
image_efficientnet_b0,image_only,primary image-only baseline,15,0.5273120374643216,0.038934390340240155,0.5036600110129522,0.048837714165523564,0.49281779715683527,0.04483425439764898,0.5131842964330275,0.04106884238293518,0.9595036661026509,0.01085717882357312,0.04049633389734913,0.010857178823573127,0.341895953777629,0.06068074353657103,0.6910850430794024,0.04424175231799393
image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,15,0.5333880257738125,0.0386417713740096,0.5081585625703273,0.05243455947901201,0.4981388546583371,0.04822655852689414,0.5044112871524039,0.043827668093537865,0.9622006870737835,0.012268472590378615,0.03779931292621648,0.012268472590378601,0.3519567081489841,0.07166934943459068,0.690566437323085,0.04501717817827169
image_plus_downstream_age_sex_upper_bound,upper_bound,non-deployment upper-bound sensitivity,15,0.5283204293356577,0.036311118370145015,0.5047466422466422,0.05233054230934401,0.4942249036024432,0.046434731234278055,0.5084687825804577,0.0424515673473333,0.9632107880838845,0.012517445910319253,0.03678921191611547,0.012517445910319244,0.351417467599864,0.07486181600725422,0.6871851691150643,0.049187395877420916
image_resnet50,image_only,predeclared stronger encoder check,15,0.5435420191765369,0.02883606422735752,0.4797960209724916,0.032629568047408394,0.4813075677428564,0.03352504905627344,0.5009827547898614,0.037473941778181453,0.9554752260336018,0.014314406748607917,0.04452477396639833,0.014314406748607927,0.2863340437262709,0.06907810188671898,0.6506220858557684,0.0386152327917678
image_tile_efficientnet_b0_meanmax,image_only,tile-based image-only baseline,15,0.5715377121468491,0.026953899261355992,0.5399180612415907,0.03395326380288899,0.5328517136394997,0.03130846783014658,0.4648925806286212,0.03097974147789305,0.9635697072245295,0.0089700951892181,0.036430292775470434,0.008970095189218088,0.3823912442559525,0.04802808227073184,0.6965402177730946,0.0365575577327011
majority_class,baseline,minimum class-prior baseline,15,0.5668051069066298,0.001456041786334346,0.33333333333333326,5.745950043620392e-17,0.24117200821240908,0.00039526997193693037,0.4331948930933702,0.001456041786334318,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
