repeat,seed,fold,eval_split,model,encoder,probability_mode,bin,n,confidence_mean,accuracy
1,20260606,0,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.9-1.0,1,0.90214657,1.00000000
1,20260606,1,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,1,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,1,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,1,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.3-0.4,0,0.00000000,0.00000000
1,20260606,1,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.4-0.5,7,0.45100428,0.14285714
1,20260606,1,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.5-0.6,29,0.55295813,0.24137931
1,20260606,1,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.6-0.7,21,0.64932511,0.52380952
1,20260606,1,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.7-0.8,21,0.76420130,0.61904762
1,20260606,1,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.8-0.9,28,0.85267539,0.57142857
1,20260606,1,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.9-1.0,92,0.97096992,0.61956522
1,20260606,1,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,1,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,1,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,1,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.3-0.4,10,0.37595247,0.10000000
1,20260606,1,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.4-0.5,56,0.45379044,0.44642857
