delta_high,delta_left_minus_right,delta_low,interpretation,left_label,left_model,left_value,lower_is_better,metric,paired_images,right_label,right_model,right_value
0.0813036590129565,0.016693797925812492,-0.04640597277416144,overlaps_no_difference,Tile EfficientNet-B0,image_tile_efficientnet_b0_meanmax,0.3997310407761394,False,quadratic_weighted_kappa,988,Image plus age/sex,image_plus_age_sex,0.3830372428503269
0.005060728744939291,-0.034412955465587036,-0.07489878542510126,overlaps_no_difference,Tile EfficientNet-B0,image_tile_efficientnet_b0_meanmax,0.44534412955465585,True,ordinal_mae,988,Image plus age/sex,image_plus_age_sex,0.4797570850202429
0.04806192095888248,0.02677116748167483,-0.01843801248847235,overlaps_no_difference,Tile EfficientNet-B0,image_tile_efficientnet_b0_meanmax,0.04971126626603556,True,ece_10,988,Image plus age/sex,image_plus_age_sex,0.022940098784360728
0.03471673569077205,-0.006116597642561228,-0.04728151215886167,overlaps_no_difference,Tile EfficientNet-B0,image_tile_efficientnet_b0_meanmax,0.6370553254752045,False,severe_balanced_accuracy,988,Image plus age/sex,image_plus_age_sex,0.6431719231177657
0.0431460390782627,0.0057555484761601106,-0.03260844748858446,overlaps_no_difference,Tile EfficientNet-B0,image_tile_efficientnet_b0_meanmax,0.7098863757035149,False,severe_auroc,988,Image plus age/sex,image_plus_age_sex,0.7041308272273548
-0.004052330843883257,-0.04392065000447698,-0.08307889368970361,right_interval_better,Lightly fine-tuned EfficientNet-B0,image_finetuned_efficientnet_b0,0.5041346037280676,False,macro_f1,988,Tile EfficientNet-B0,image_tile_efficientnet_b0_meanmax,0.5480552537325446
0.04755965952272382,0.004750776279504043,-0.03738331379063258,overlaps_no_difference,Lightly fine-tuned EfficientNet-B0,image_finetuned_efficientnet_b0,0.5550032028315202,False,balanced_accuracy,988,Tile EfficientNet-B0,image_tile_efficientnet_b0_meanmax,0.5502524265520161
0.03797677078324255,-0.028893388222565153,-0.09387308335782649,overlaps_no_difference,Lightly fine-tuned EfficientNet-B0,image_finetuned_efficientnet_b0,0.37083765255357426,False,quadratic_weighted_kappa,988,Tile EfficientNet-B0,image_tile_efficientnet_b0_meanmax,0.3997310407761394
0.14676113360323884,0.10222672064777327,0.05870445344129549,right_interval_better,Lightly fine-tuned EfficientNet-B0,image_finetuned_efficientnet_b0,0.5475708502024291,True,ordinal_mae,988,Tile EfficientNet-B0,image_tile_efficientnet_b0_meanmax,0.44534412955465585
0.04221735720848982,0.002942835210827194,-0.03321519365347165,overlaps_no_difference,Lightly fine-tuned EfficientNet-B0,image_finetuned_efficientnet_b0,0.05265410147686275,True,ece_10,988,Tile EfficientNet-B0,image_tile_efficientnet_b0_meanmax,0.04971126626603556
0.059366571094828464,0.01831262610173079,-0.020784485504937868,overlaps_no_difference,Lightly fine-tuned EfficientNet-B0,image_finetuned_efficientnet_b0,0.6553679515769353,False,severe_balanced_accuracy,988,Tile EfficientNet-B0,image_tile_efficientnet_b0_meanmax,0.6370553254752045
0.04851876924710624,0.010215567590527774,-0.02818851545078044,overlaps_no_difference,Lightly fine-tuned EfficientNet-B0,image_finetuned_efficientnet_b0,0.7201019432940426,False,severe_auroc,988,Tile EfficientNet-B0,image_tile_efficientnet_b0_meanmax,0.7098863757035149
0.03909425664926864,-0.00015072346637712286,-0.03880683052668339,overlaps_no_difference,Lightly fine-tuned EfficientNet-B0,image_finetuned_efficientnet_b0,0.5041346037280676,False,macro_f1,988,Whole-image EfficientNet-B0,image_efficientnet_b0,0.5042853271944447
0.08766626224133058,0.04511839619568747,0.0025446360714828664,left_interval_better,Lightly fine-tuned EfficientNet-B0,image_finetuned_efficientnet_b0,0.5550032028315202,False,balanced_accuracy,988,Whole-image EfficientNet-B0,image_efficientnet_b0,0.5098848066358327
0.06912148175902681,0.004268614310325436,-0.06025009968504779,overlaps_no_difference,Lightly fine-tuned EfficientNet-B0,image_finetuned_efficientnet_b0,0.37083765255357426,False,quadratic_weighted_kappa,988,Whole-image EfficientNet-B0,image_efficientnet_b0,0.3665690382432488
0.10020242914979755,0.05668016194331982,0.014144736842105342,right_interval_better,Lightly fine-tuned EfficientNet-B0,image_finetuned_efficientnet_b0,0.5475708502024291,True,ordinal_mae,988,Whole-image EfficientNet-B0,image_efficientnet_b0,0.4908906882591093
0.05321307747508342,0.026054591614567177,-0.01804791329427658,overlaps_no_difference,Lightly fine-tuned EfficientNet-B0,image_finetuned_efficientnet_b0,0.05265410147686275,True,ece_10,988,Whole-image EfficientNet-B0,image_efficientnet_b0,0.026599509862295576
0.05394499309758949,0.0158543060422639,-0.023273866411808425,overlaps_no_difference,Lightly fine-tuned EfficientNet-B0,image_finetuned_efficientnet_b0,0.6553679515769353,False,severe_balanced_accuracy,988,Whole-image EfficientNet-B0,image_efficientnet_b0,0.6395136455346714
0.05407388234044813,0.01694276308803222,-0.020917622385048334,overlaps_no_difference,Lightly fine-tuned EfficientNet-B0,image_finetuned_efficientnet_b0,0.7201019432940426,False,severe_auroc,988,Whole-image EfficientNet-B0,image_efficientnet_b0,0.7031591802060104
0.055805840983366925,0.02038377610576153,-0.01554450745820725,overlaps_no_difference,Lightly fine-tuned EfficientNet-B0,image_finetuned_efficientnet_b0,0.5041346037280676,False,macro_f1,988,Age/sex guardrail,age_sex,0.4837508276223061
0.049946060788656564,0.012403915054393866,-0.026538180194558416,overlaps_no_difference,Lightly fine-tuned EfficientNet-B0,image_finetuned_efficientnet_b0,0.5550032028315202,False,balanced_accuracy,988,Age/sex guardrail,age_sex,0.5425992877771263
0.1783993642179823,0.1153364109674675,0.04818008315135907,left_interval_better,Lightly fine-tuned EfficientNet-B0,image_finetuned_efficientnet_b0,0.37083765255357426,False,quadratic_weighted_kappa,988,Age/sex guardrail,age_sex,0.25550124158610676
0.00809716599190291,-0.037449392712550655,-0.08097165991902833,overlaps_no_difference,Lightly fine-tuned EfficientNet-B0,image_finetuned_efficientnet_b0,0.5475708502024291,True,ordinal_mae,988,Age/sex guardrail,age_sex,0.5850202429149798
0.03467588966146413,-0.0037573995099995094,-0.04378271325733961,overlaps_no_difference,Lightly fine-tuned EfficientNet-B0,image_finetuned_efficientnet_b0,0.05265410147686275,True,ece_10,988,Age/sex guardrail,age_sex,0.05641150098686226
0.11978350323882332,0.08076882234257188,0.04359668684294371,left_interval_better,Lightly fine-tuned EfficientNet-B0,image_finetuned_efficientnet_b0,0.6553679515769353,False,severe_balanced_accuracy,988,Age/sex guardrail,age_sex,0.5745991292343634
0.1793339173834554,0.13647923967293185,0.09472941223319535,left_interval_better,Lightly fine-tuned EfficientNet-B0,image_finetuned_efficientnet_b0,0.7201019432940426,False,severe_auroc,988,Age/sex guardrail,age_sex,0.5836227036211108
