repeat,seed,fold,eval_split,model,encoder,probability_mode,bin,n,confidence_mean,accuracy
1,20260606,1,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,1,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,1,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,1,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.3-0.4,13,0.37390916,0.30769231
1,20260606,1,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.4-0.5,63,0.44858427,0.49206349
1,20260606,1,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.5-0.6,67,0.54499855,0.50746269
1,20260606,1,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.6-0.7,27,0.64540879,0.51851852
1,20260606,1,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.7-0.8,20,0.73816183,0.65000000
1,20260606,1,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.8-0.9,4,0.84829594,0.25000000
1,20260606,1,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.9-1.0,4,0.93902712,0.75000000
1,20260606,1,val,frozen_encoder_logistic,resnet50,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,1,val,frozen_encoder_logistic,resnet50,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,1,val,frozen_encoder_logistic,resnet50,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,1,val,frozen_encoder_logistic,resnet50,raw,0.3-0.4,7,0.37014056,0.14285714
1,20260606,1,val,frozen_encoder_logistic,resnet50,raw,0.4-0.5,29,0.46262561,0.44827586
1,20260606,1,val,frozen_encoder_logistic,resnet50,raw,0.5-0.6,46,0.55381624,0.43478261
1,20260606,1,val,frozen_encoder_logistic,resnet50,raw,0.6-0.7,34,0.65467622,0.52941176
1,20260606,1,val,frozen_encoder_logistic,resnet50,raw,0.7-0.8,31,0.75699704,0.58064516
1,20260606,1,val,frozen_encoder_logistic,resnet50,raw,0.8-0.9,38,0.84459888,0.57894737
1,20260606,1,val,frozen_encoder_logistic,resnet50,raw,0.9-1.0,13,0.93813443,0.61538462
1,20260606,1,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,1,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,1,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,1,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.3-0.4,21,0.37378131,0.38095238
1,20260606,1,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.4-0.5,71,0.45301269,0.40845070
1,20260606,1,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.5-0.6,58,0.54434918,0.60344828
1,20260606,1,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.6-0.7,37,0.64255633,0.59459459
1,20260606,1,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.7-0.8,9,0.73926812,0.55555556
1,20260606,1,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.8-0.9,2,0.83013270,0.50000000
1,20260606,1,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.9-1.0,0,0.00000000,0.00000000
1,20260606,2,test,frozen_encoder_logistic,resnet50,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,2,test,frozen_encoder_logistic,resnet50,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,2,test,frozen_encoder_logistic,resnet50,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,2,test,frozen_encoder_logistic,resnet50,raw,0.3-0.4,2,0.35808044,0.00000000
1,20260606,2,test,frozen_encoder_logistic,resnet50,raw,0.4-0.5,25,0.46414515,0.44000000
1,20260606,2,test,frozen_encoder_logistic,resnet50,raw,0.5-0.6,41,0.53838377,0.53658537
