repeat,seed,fold,eval_split,model,encoder,probability_mode,true_label,pred_label,count
1,20260606,2,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,1,2,10
1,20260606,2,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,1,3,2
1,20260606,2,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,2,1,18
1,20260606,2,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,2,2,65
1,20260606,2,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,2,3,29
1,20260606,2,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,3,1,8
1,20260606,2,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,3,2,23
1,20260606,2,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,3,3,20
1,20260606,3,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,1,1,24
1,20260606,3,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,1,2,8
1,20260606,3,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,1,3,2
1,20260606,3,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,2,1,22
1,20260606,3,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,2,2,66
1,20260606,3,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,2,3,24
1,20260606,3,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,3,1,5
1,20260606,3,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,3,2,25
1,20260606,3,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,3,3,21
1,20260606,3,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,1,1,24
1,20260606,3,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,1,2,8
