repeat,seed,fold,eval_split,model,encoder,image_width,image_height,probability_mode,temperature,n,accuracy,balanced_accuracy,macro_f1,precision_1,precision_2,precision_3,recall_1,recall_2,recall_3,f1_1,f1_2,f1_3,brier_score,log_loss,ece_10,ordinal_mae,quadratic_weighted_kappa,ovr_auroc
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,384,192,raw,1.00000000,197,0.49746193,0.46527778,0.45528455,0.31250000,0.60576923,0.44444444,0.44117647,0.56250000,0.39215686,0.36585366,0.58333333,0.41666667,0.63571353,1.02750500,0.17023280,0.54822335,0.29418790,0.67016292
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,384,192,temperature_scaled,1.75194875,197,0.49746193,0.46527778,0.45528455,0.31250000,0.60576923,0.44444444,0.44117647,0.56250000,0.39215686,0.36585366,0.58333333,0.41666667,0.58635646,0.94852400,0.09810216,0.54822335,0.29418790,0.67451731
1,20260606,4,val,frozen_encoder_logistic,efficientnet_b0,384,192,raw,1.00000000,198,0.56060606,0.51183743,0.51283120,0.46428571,0.65740741,0.43548387,0.38235294,0.63392857,0.51923077,0.41935484,0.64545455,0.47368421,0.59084642,0.96478296,0.14202624,0.48484848,0.32869379,0.69667243
1,20260606,4,val,frozen_encoder_logistic,efficientnet_b0,384,192,temperature_scaled,1.75194875,198,0.56060606,0.51183743,0.51283120,0.46428571,0.65740741,0.43548387,0.38235294,0.63392857,0.51923077,0.41935484,0.64545455,0.47368421,0.55729863,0.90611600,0.05104056,0.48484848,0.32869379,0.69826529
2,20260607,0,test,frozen_encoder_logistic,efficientnet_b0,384,192,raw,1.00000000,198,0.54545455,0.50634292,0.50154200,0.36111111,0.63207547,0.50000000,0.38235294,0.59821429,0.53846154,0.37142857,0.61467890,0.51851852,0.61014861,1.01936838,0.17381011,0.48484848,0.38060480,0.69013619
2,20260607,0,test,frozen_encoder_logistic,efficientnet_b0,384,192,temperature_scaled,2.27467990,198,0.54545455,0.50634292,0.50154200,0.36111111,0.63207547,0.50000000,0.38235294,0.59821429,0.53846154,0.37142857,0.61467890,0.51851852,0.56787768,0.93056790,0.07070028,0.48484848,0.38060480,0.69115533
2,20260607,0,val,frozen_encoder_logistic,efficientnet_b0,384,192,raw,1.00000000,198,0.52020202,0.48107897,0.48129605,0.45454545,0.60909091,0.38181818,0.44117647,0.59821429,0.40384615,0.44776119,0.60360360,0.39252336,0.61922995,1.08682461,0.17237583,0.51515152,0.31764706,0.66608073
2,20260607,0,val,frozen_encoder_logistic,efficientnet_b0,384,192,temperature_scaled,2.27467990,198,0.52020202,0.48107897,0.48129605,0.45454545,0.60909091,0.38181818,0.44117647,0.59821429,0.40384615,0.44776119,0.60360360,0.39252336,0.57822014,0.95871072,0.05939359,0.51515152,0.31764706,0.66822797
2,20260607,1,test,frozen_encoder_logistic,efficientnet_b0,384,192,raw,1.00000000,198,0.50000000,0.46913381,0.46413928,0.43243243,0.60952381,0.33928571,0.47058824,0.57142857,0.36538462,0.45070423,0.58986175,0.35185185,0.61073007,1.06587365,0.17323900,0.55050505,0.26514759,0.68086922
2,20260607,1,test,frozen_encoder_logistic,efficientnet_b0,384,192,temperature_scaled,2.16094545,198,0.50000000,0.46913381,0.46413928,0.43243243,0.60952381,0.33928571,0.47058824,0.57142857,0.36538462,0.45070423,0.58986175,0.35185185,0.57408950,0.95660696,0.07066497,0.55050505,0.26514759,0.68289887
2,20260607,1,val,frozen_encoder_logistic,efficientnet_b0,384,192,raw,1.00000000,198,0.49494949,0.44914889,0.44709415,0.31578947,0.58181818,0.44000000,0.35294118,0.57142857,0.42307692,0.33333333,0.57657658,0.43137255,0.63229715,1.06012516,0.20051714,0.53535354,0.31322751,0.65545109
2,20260607,1,val,frozen_encoder_logistic,efficientnet_b0,384,192,temperature_scaled,2.16094545,198,0.49494949,0.44914889,0.44709415,0.31578947,0.58181818,0.44000000,0.35294118,0.57142857,0.42307692,0.33333333,0.57657658,0.43137255,0.57897135,0.95042523,0.05660035,0.53535354,0.31322751,0.66189685
2,20260607,2,test,frozen_encoder_logistic,efficientnet_b0,384,192,raw,1.00000000,198,0.52020202,0.50156216,0.48851932,0.40000000,0.60952381,0.43750000,0.52941176,0.57142857,0.40384615,0.45569620,0.58986175,0.42000000,0.61900426,1.07936593,0.16350994,0.51010101,0.36678553,0.67054016
