repeat,seed,fold,eval_split,model,encoder,probability_mode,bin,n,confidence_mean,accuracy
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.6-0.7,34,0.64463949,0.64705882
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.7-0.8,21,0.75061086,0.47619048
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.8-0.9,7,0.84453865,0.71428571
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.9-1.0,0,0.00000000,0.00000000
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.3-0.4,17,0.37723225,0.41176471
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.4-0.5,75,0.44782641,0.48000000
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.5-0.6,58,0.54190652,0.46551724
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.6-0.7,31,0.64376548,0.67741935
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.7-0.8,13,0.73372964,0.38461538
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.8-0.9,4,0.82354101,0.75000000
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.9-1.0,0,0.00000000,0.00000000
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.3-0.4,24,0.37417014,0.70833333
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.4-0.5,68,0.44916454,0.42647059
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.5-0.6,47,0.55875233,0.44680851
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.6-0.7,40,0.64345740,0.42500000
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.7-0.8,12,0.74151802,0.83333333
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.8-0.9,7,0.83973956,0.85714286
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.9-1.0,0,0.00000000,0.00000000
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.3-0.4,33,0.37590213,0.60606061
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.4-0.5,69,0.44658676,0.46376812
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.5-0.6,57,0.55491800,0.42105263
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.6-0.7,28,0.63915139,0.50000000
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.7-0.8,9,0.74616161,1.00000000
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.8-0.9,2,0.84769466,0.50000000
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.9-1.0,0,0.00000000,0.00000000
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.3-0.4,83,0.37236577,0.34939759
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.4-0.5,103,0.43512814,0.57281553
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.5-0.6,12,0.51617618,0.66666667
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.6-0.7,0,0.00000000,0.00000000
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.7-0.8,0,0.00000000,0.00000000
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.8-0.9,0,0.00000000,0.00000000
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.9-1.0,0,0.00000000,0.00000000
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.3-0.4,27,0.37477885,0.37037037
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.4-0.5,76,0.44784081,0.43421053
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.5-0.6,64,0.53861195,0.56250000
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.6-0.7,28,0.63815811,0.60714286
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.7-0.8,3,0.74836087,0.00000000
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.8-0.9,0,0.00000000,0.00000000
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.9-1.0,0,0.00000000,0.00000000
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.3-0.4,92,0.37375170,0.40217391
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.4-0.5,97,0.43592117,0.48453608
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.5-0.6,7,0.51808343,0.71428571
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.6-0.7,1,0.64432037,1.00000000
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.7-0.8,0,0.00000000,0.00000000
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.8-0.9,0,0.00000000,0.00000000
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.9-1.0,0,0.00000000,0.00000000
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.3-0.4,25,0.37725444,0.52000000
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.4-0.5,94,0.44812658,0.40425532
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.5-0.6,54,0.54756658,0.46296296
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.6-0.7,20,0.63807908,0.50000000
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.7-0.8,3,0.72272633,1.00000000
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.8-0.9,1,0.88503014,1.00000000
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.9-1.0,0,0.00000000,0.00000000
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.3-0.4,15,0.36833143,0.40000000
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.4-0.5,51,0.45696012,0.47058824
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.5-0.6,59,0.54793217,0.49152542
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.6-0.7,40,0.64539130,0.55000000
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.7-0.8,18,0.74605361,0.44444444
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.8-0.9,12,0.85323935,0.41666667
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.9-1.0,2,0.90621166,1.00000000
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.3-0.4,25,0.37245494,0.44000000
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.4-0.5,80,0.45771671,0.47500000
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.5-0.6,53,0.54733728,0.52830189
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.6-0.7,24,0.64087240,0.50000000
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.7-0.8,11,0.74640506,0.36363636
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.8-0.9,4,0.81462113,0.75000000
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.9-1.0,0,0.00000000,0.00000000
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.3-0.4,13,0.37031981,0.61538462
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.4-0.5,55,0.44920611,0.52727273
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.5-0.6,62,0.54662424,0.48387097
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.6-0.7,35,0.65249637,0.51428571
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.7-0.8,15,0.74452699,0.53333333
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.8-0.9,15,0.85199195,0.66666667
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.9-1.0,2,0.91701932,0.00000000
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.3-0.4,26,0.37597755,0.53846154
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.4-0.5,76,0.45197366,0.50000000
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.5-0.6,56,0.54287726,0.51785714
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.6-0.7,22,0.64188374,0.54545455
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.7-0.8,14,0.75765805,0.64285714
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.8-0.9,3,0.82596506,0.33333333
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.9-1.0,0,0.00000000,0.00000000
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.3-0.4,27,0.37673070,0.37037037
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.4-0.5,92,0.45372610,0.45652174
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.5-0.6,50,0.54540252,0.48000000
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.6-0.7,20,0.64861140,0.70000000
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.7-0.8,8,0.73791857,0.37500000
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.8-0.9,0,0.00000000,0.00000000
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.9-1.0,0,0.00000000,0.00000000
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.3-0.4,13,0.37927601,0.23076923
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.4-0.5,50,0.45320799,0.48000000
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.5-0.6,63,0.54683832,0.44444444
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.6-0.7,40,0.64877223,0.52500000
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.7-0.8,17,0.75164039,0.58823529
