repeat,seed,fold,eval_split,model,encoder,probability_mode,bin,n,confidence_mean,accuracy
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,raw,0.7-0.8,12,0.75844004,0.33333333
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,raw,0.8-0.9,21,0.85919140,0.52380952
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,raw,0.9-1.0,145,0.98616246,0.51724138
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.3-0.4,1,0.37146063,0.00000000
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.4-0.5,35,0.46001661,0.48571429
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.5-0.6,41,0.55241809,0.39024390
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.6-0.7,36,0.63955923,0.47222222
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.7-0.8,41,0.74626555,0.51219512
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.8-0.9,25,0.84888333,0.64000000
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.9-1.0,19,0.93690459,0.63157895
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,raw,0.3-0.4,0,0.00000000,0.00000000
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,raw,0.4-0.5,0,0.00000000,0.00000000
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,raw,0.5-0.6,19,0.55250913,0.63157895
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,raw,0.6-0.7,14,0.64752477,0.71428571
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,raw,0.7-0.8,11,0.74702639,0.36363636
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,raw,0.8-0.9,20,0.84908767,0.55000000
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,raw,0.9-1.0,134,0.98547273,0.56716418
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.3-0.4,6,0.38392719,0.83333333
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.4-0.5,45,0.46109301,0.55555556
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.5-0.6,42,0.54652784,0.42857143
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.6-0.7,35,0.65477308,0.54285714
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.7-0.8,40,0.74639967,0.65000000
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.8-0.9,17,0.84782639,0.76470588
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.9-1.0,13,0.94978700,0.53846154
1,20260606,2,test,frozen_encoder_logistic,efficientnet_b0,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,2,test,frozen_encoder_logistic,efficientnet_b0,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,2,test,frozen_encoder_logistic,efficientnet_b0,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,2,test,frozen_encoder_logistic,efficientnet_b0,raw,0.3-0.4,4,0.38540634,0.00000000
1,20260606,2,test,frozen_encoder_logistic,efficientnet_b0,raw,0.4-0.5,37,0.46001851,0.51351351
1,20260606,2,test,frozen_encoder_logistic,efficientnet_b0,raw,0.5-0.6,43,0.55627264,0.60465116
1,20260606,2,test,frozen_encoder_logistic,efficientnet_b0,raw,0.6-0.7,38,0.64671288,0.52631579
1,20260606,2,test,frozen_encoder_logistic,efficientnet_b0,raw,0.7-0.8,23,0.74507842,0.60869565
1,20260606,2,test,frozen_encoder_logistic,efficientnet_b0,raw,0.8-0.9,31,0.84586548,0.58064516
1,20260606,2,test,frozen_encoder_logistic,efficientnet_b0,raw,0.9-1.0,22,0.94900003,0.72727273
1,20260606,2,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,2,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,2,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,2,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.3-0.4,21,0.37823268,0.38095238
1,20260606,2,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.4-0.5,78,0.44689939,0.56410256
1,20260606,2,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.5-0.6,49,0.54961622,0.61224490
1,20260606,2,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.6-0.7,29,0.64490710,0.55172414
1,20260606,2,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.7-0.8,14,0.73524105,0.71428571
1,20260606,2,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.8-0.9,6,0.86922703,0.66666667
1,20260606,2,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.9-1.0,1,0.91559826,1.00000000
1,20260606,2,val,frozen_encoder_logistic,efficientnet_b0,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,2,val,frozen_encoder_logistic,efficientnet_b0,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,2,val,frozen_encoder_logistic,efficientnet_b0,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,2,val,frozen_encoder_logistic,efficientnet_b0,raw,0.3-0.4,3,0.37889243,1.00000000
1,20260606,2,val,frozen_encoder_logistic,efficientnet_b0,raw,0.4-0.5,27,0.46200397,0.37037037
1,20260606,2,val,frozen_encoder_logistic,efficientnet_b0,raw,0.5-0.6,45,0.54864297,0.57777778
1,20260606,2,val,frozen_encoder_logistic,efficientnet_b0,raw,0.6-0.7,48,0.64927070,0.58333333
1,20260606,2,val,frozen_encoder_logistic,efficientnet_b0,raw,0.7-0.8,31,0.74440701,0.67741935
1,20260606,2,val,frozen_encoder_logistic,efficientnet_b0,raw,0.8-0.9,25,0.84673446,0.52000000
1,20260606,2,val,frozen_encoder_logistic,efficientnet_b0,raw,0.9-1.0,18,0.94961935,0.66666667
1,20260606,2,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,2,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,2,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,2,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.3-0.4,16,0.37975441,0.43750000
1,20260606,2,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.4-0.5,78,0.45334822,0.52564103
1,20260606,2,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.5-0.6,59,0.53852710,0.69491525
1,20260606,2,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.6-0.7,28,0.64593372,0.50000000
1,20260606,2,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.7-0.8,11,0.74622822,0.63636364
1,20260606,2,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.8-0.9,5,0.85725569,0.60000000
1,20260606,2,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.9-1.0,0,0.00000000,0.00000000
1,20260606,3,test,frozen_encoder_logistic,efficientnet_b0,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,3,test,frozen_encoder_logistic,efficientnet_b0,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,3,test,frozen_encoder_logistic,efficientnet_b0,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,3,test,frozen_encoder_logistic,efficientnet_b0,raw,0.3-0.4,3,0.38968110,0.00000000
1,20260606,3,test,frozen_encoder_logistic,efficientnet_b0,raw,0.4-0.5,13,0.46576544,0.46153846
1,20260606,3,test,frozen_encoder_logistic,efficientnet_b0,raw,0.5-0.6,29,0.54678326,0.55172414
1,20260606,3,test,frozen_encoder_logistic,efficientnet_b0,raw,0.6-0.7,32,0.64918483,0.65625000
1,20260606,3,test,frozen_encoder_logistic,efficientnet_b0,raw,0.7-0.8,25,0.74923705,0.52000000
1,20260606,3,test,frozen_encoder_logistic,efficientnet_b0,raw,0.8-0.9,17,0.85525017,0.47058824
1,20260606,3,test,frozen_encoder_logistic,efficientnet_b0,raw,0.9-1.0,78,0.96497175,0.65384615
1,20260606,3,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,3,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,3,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,3,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.3-0.4,28,0.37755754,0.46428571
1,20260606,3,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.4-0.5,75,0.44325437,0.57333333
1,20260606,3,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.5-0.6,49,0.55256456,0.63265306
1,20260606,3,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.6-0.7,29,0.63972350,0.48275862
1,20260606,3,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.7-0.8,8,0.73880316,0.87500000
1,20260606,3,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.8-0.9,7,0.84950355,0.85714286
1,20260606,3,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.9-1.0,1,0.94184201,1.00000000
1,20260606,3,val,frozen_encoder_logistic,efficientnet_b0,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,3,val,frozen_encoder_logistic,efficientnet_b0,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,3,val,frozen_encoder_logistic,efficientnet_b0,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,3,val,frozen_encoder_logistic,efficientnet_b0,raw,0.3-0.4,1,0.38831058,0.00000000
1,20260606,3,val,frozen_encoder_logistic,efficientnet_b0,raw,0.4-0.5,7,0.43902728,0.28571429
1,20260606,3,val,frozen_encoder_logistic,efficientnet_b0,raw,0.5-0.6,29,0.54813005,0.55172414
1,20260606,3,val,frozen_encoder_logistic,efficientnet_b0,raw,0.6-0.7,29,0.64897902,0.58620690
1,20260606,3,val,frozen_encoder_logistic,efficientnet_b0,raw,0.7-0.8,23,0.75208830,0.69565217
1,20260606,3,val,frozen_encoder_logistic,efficientnet_b0,raw,0.8-0.9,36,0.83964840,0.52777778
1,20260606,3,val,frozen_encoder_logistic,efficientnet_b0,raw,0.9-1.0,72,0.96824780,0.52777778
1,20260606,3,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,3,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,3,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,3,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.3-0.4,26,0.37802472,0.46153846
1,20260606,3,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.4-0.5,79,0.45486529,0.59493671
1,20260606,3,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.5-0.6,49,0.54413479,0.44897959
1,20260606,3,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.6-0.7,26,0.65003422,0.57692308
1,20260606,3,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.7-0.8,12,0.74140327,0.66666667
1,20260606,3,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.8-0.9,5,0.86355243,0.80000000
1,20260606,3,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.9-1.0,0,0.00000000,0.00000000
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,raw,0.3-0.4,1,0.37312001,1.00000000
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,raw,0.4-0.5,38,0.45467571,0.36842105
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,raw,0.5-0.6,48,0.54793448,0.54166667
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,raw,0.6-0.7,28,0.64329068,0.46428571
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,raw,0.7-0.8,34,0.74647203,0.32352941
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,raw,0.8-0.9,25,0.84740302,0.52000000
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,raw,0.9-1.0,23,0.94579072,0.86956522
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.3-0.4,16,0.38203904,0.43750000
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.4-0.5,72,0.45220869,0.48611111
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.5-0.6,43,0.55199589,0.34883721
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.6-0.7,38,0.64470264,0.52631579
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.7-0.8,19,0.75410550,0.68421053
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.8-0.9,5,0.86118570,1.00000000
1,20260606,4,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.9-1.0,4,0.93529408,0.75000000
1,20260606,4,val,frozen_encoder_logistic,efficientnet_b0,raw,0.0-0.1,0,0.00000000,0.00000000
